DATE_RANK,AMOUNT,CUST_NO
60.0,2074.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
61.0,2066.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
62.0,2314.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
63.0,2274.84,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
64.0,2264.24,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
65.0,2296.08,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
66.0,2505.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
67.0,2498.12,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
68.0,2507.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
69.0,3181.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
70.0,2485.7400000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
71.0,2884.36,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
72.0,2327.94,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
73.0,2746.54,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
74.0,2327.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
75.0,2717.98,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
76.0,2515.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
77.0,3153.08,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
78.0,2779.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
79.0,1943.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
80.0,2163.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
81.0,2375.48,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
82.0,2353.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
83.0,2161.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
84.0,1943.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
85.0,1939.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
86.0,1943.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
87.0,1933.44,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
88.0,2146.94,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
89.0,1943.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
90.0,2404.1400000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
91.0,2383.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
92.0,1963.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
93.0,2162.04,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
94.0,2173.6,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
95.0,1987.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
96.0,2383.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
97.0,2416.48,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
98.0,2252.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
99.0,2264.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
100.0,2254.3,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
101.0,2265.6800000000003,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
102.0,2482.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
103.0,2710.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
104.0,2666.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
105.0,2419.24,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
106.0,2601.2,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
107.0,2762.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
108.0,225.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
109.0,4879.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
110.0,2687.9,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
111.0,3123.7,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
112.0,3066.4,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
113.0,3095.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
114.0,3091.8,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
115.0,3075.7400000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
116.0,5773.5,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
117.0,1504.94,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
118.0,2023.18,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
119.0,2579.0000000000005,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
120.0,521.38,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
121.0,1596.24,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
122.0,1828.48,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
123.0,1762.8200000000002,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
124.0,2761.3199999999997,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
125.0,2398.88,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
126.0,3172.0600000000004,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
127.0,2375.7799999999997,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
128.0,2450.02,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
129.0,2265.62,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
130.0,2669.34,0xF23B5CB3AF1D0F9913A45F28D02583159243C3CFC05CF817D85B44EB4D3B7E58
